hometown_state,n,total_medals,state.name,state_population,edu_attainment_total,no_schooling,hs_diploma,some_college_lt_1,some_college_gt_1,bachelors,graduate,professional,doctorate,median_household_income,pct_hs_diploma,pct_some_college_lt_1,pct_some_college_gt_1,pct_bachelors,pct_graduate,pct_professional,pct_doctorate,pct_degree,athletes_per_100k,medals_per_100k,medals_per_athlete,is_maryland
ID,2,0,Idaho,1854109,1212296,13404,259629,97800,205764,244372,85760,20684,15407,70214,21.41630426892442,8.067336690049295,16.973082481506164,20.15778324765569,7.07417990325795,1.7061839682717752,1.2708942370510172,30.209041356236433,0.10786852337160328,0,0,Other
IL,39,20,Illinois,12757634,8746416,139881,1899480,582890,1149453,1924339,938097,214115,130899,78433,21.71723823792511,6.664329709448991,13.14198867284611,22.001457511282336,10.725501736940023,2.4480312850429247,1.4966015794355083,36.67159211270079,0.3056993169736646,0.15676888049931514,0.5128205128205128,Other
IN,24,24,Indiana,6784403,4532091,56042,1258288,315006,579487,815853,342003,69602,52190,67173,27.763961491505796,6.9505665265768055,12.786305482392123,18.001690610360647,7.546251829453557,1.5357591010418812,1.1515655797732216,28.23526712062931,0.3537525704177656,0.3537525704177656,1,Other
KS,4,1,Kansas,2935922,1926520,25436,415315,157160,276328,417263,185313,38167,27522,69747,21.55778294541453,8.157714428087951,14.343375620289434,21.6588979091834,9.619054045636693,1.9811369723646783,1.4285862591615972,34.68767518634637,0.13624340156175813,0.03406085039043953,0.25,Other
KY,4,18,Kentucky,4502935,3067109,36539,806274,210743,408299,478134,241185,56939,35681,60183,26.287751755806525,6.871063271634624,13.312177689152879,15.589077531969032,7.86359402290561,1.8564387506280347,1.1633430699724072,26.47245337547508,0.08883095136838529,0.3997392811577338,4.5,Other
LA,5,4,Louisiana,4640546,3121146,43616,854193,182985,466913,519481,206717,56332,33039,57852,27.367928318636807,5.862750412829134,14.95966545621384,16.64391861194574,6.623112151754516,1.8048498852665014,1.058553492851664,26.13043414181842,0.10774594196458778,0.08619675357167023,0.8,Other
MA,21,3,Massachusetts,6984205,4920101,86614,990524,245835,481089,1234320,717317,153045,154129,96505,20.132188343288075,4.996543770138052,9.77803097944534,25.087289874740375,14.579314530331796,3.1106068757531604,3.1326389437940403,45.909850224619376,0.3006784594667539,0.0429540656381077,0.14285714285714285,Other
MD,25,71,Maryland,6161707,4260095,68023,885579,259289,513329,952916,590587,135879,119364,98461,20.78777585945853,6.086460513204518,12.049707811680257,22.36842136149546,13.863235444279997,3.1895767582647805,2.801909347092025,42.223142911132264,0.405731723368216,1.1522780943657334,2.84,Maryland
ME,1,0,Maine,1366949,1005961,6442,261945,60081,128129,214733,90861,22065,15603,68251,26.039279852797474,5.972497939780966,12.736974892664826,21.346056159234802,9.032258705854401,2.1934249936130725,1.5510541661157837,34.12279402481806,0.07315561882703744,0,0,Other
MI,17,5,Michigan,10057921,6938439,83826,1694166,535510,1025808,1311608,627217,132170,89356,68505,24.41710592252811,7.718018418840318,14.784420530323898,18.903502646632766,9.03974222443982,1.9048953229970027,1.2878401035160791,31.135980297585668,0.16902101338835332,0.049712062761280394,0.29411764705882354,Other
MN,18,21,Minnesota,5695292,3874392,54955,800667,254016,527184,965593,364292,89655,60300,84313,20.665616695471186,6.5562803144338515,13.606883350987717,24.9224394434017,9.402559162831226,2.3140404997739,1.5563732322387616,38.19541233824559,0.3160505203245066,0.36872560704525775,1.1666666666666667,Other
MO,10,6,Missouri,6154422,4199109,40330,1087681,306712,591834,804597,370034,80507,54700,65920,25.90266173133396,7.304216203961364,14.094275714205084,19.161136326777893,8.812202779208638,1.91724006211794,1.3026573018228391,31.19323646992731,0.16248479548526246,0.09749087729115748,0.6,Other
MS,2,1,Mississippi,2958846,1968322,28501,468731,122570,308683,286132,131671,30003,22265,52985,23.813735760713946,6.22713153640512,15.682545843617051,14.536849153746187,6.689505070816665,1.5242932812822292,1.131166546936934,23.881814052782012,0.06759392006207826,0.03379696003103913,0.5,Other
MT,2,0,Montana,1091840,758200,3363,175154,54030,121486,170549,59333,15762,11983,66341,23.101292534951202,7.126088103402796,16.022949089949883,22.493932999208653,7.825507781587972,2.078871010287523,1.5804537061461357,33.978765497230285,0.18317702227432592,0,0,Other
NC,15,7,North Carolina,10470214,7172112,94221,1505077,449128,1010992,1533552,648712,139534,107092,66186,20.985129624300345,6.262144260993136,14.096154661276902,21.382153541383627,9.044922890216995,1.9455078225214553,1.4931724434866605,33.86575669760874,0.1432635474308357,0.06685632213439,0.4666666666666667,Other
NE,7,6,Nebraska,1958939,1283285,21604,280742,98332,186066,280101,106137,25032,18160,71722,21.87682393232992,7.6625223547380354,14.49919542424325,21.826873999150617,8.270727079331559,1.950618919413848,1.4151182317256106,33.463338229621634,0.35733629275847795,0.3062882509358382,0.8571428571428571,Other
NH,4,2,New Hampshire,1379610,997353,7152,229881,60160,114506,236189,116378,19939,16942,90845,23.04911099680855,6.0319666156315765,11.48099018100913,23.68158515590769,11.668687014527453,1.9991918608556851,1.6986964495018315,39.04816048079266,0.2899370111843202,0.1449685055921601,0.5,Other
NJ,23,4,New Jersey,9249063,6427003,109116,1511209,337867,667139,1636308,785250,182433,111577,97126,23.513432310518603,5.2569914779874845,10.380250328185625,25.45989164778669,12.217980915832777,2.838539207154563,1.7360657836942037,42.25247755446823,0.24867383863641107,0.043247624110680186,0.17391304347826086,Other
NM,2,0,New Mexico,2112463,1433908,20560,305319,91421,240172,230705,131594,26832,27773,58722,21.29278865868661,6.375653110241382,16.749470677337737,16.089247008873652,9.177297288250013,1.8712497593987898,1.9368746112023925,29.074668667724847,0.0946762144473063,0,0,Other
NV,8,0,Nevada,3104817,2154487,45599,503894,166932,356289,371761,139842,37727,22673,71646,23.388119770506854,7.748108946584501,16.537068917101845,17.25519810516378,6.4907330608167975,1.7510897025602847,1.0523618847549325,26.5493827532958,0.25766413930354026,0,0,Other
NY,31,25,New York,19994379,14021808,356478,2933147,682351,1426247,3033763,1731771,435559,238322,81386,20.918465008221478,4.866355323079592,10.171634071725984,21.636032956662934,12.350554222394145,3.1062969910870266,1.699652427133505,38.79253659727761,0.15504357499675284,0.12503514112641356,0.8064516129032258,Other
OH,17,11,Ohio,11774683,8097704,85033,2315749,560069,1040670,1515763,696826,148249,98487,66990,28.597600011064866,6.916392597210271,12.85142060020964,18.718429322682084,8.605229334142123,1.8307535074139534,1.2162336385721186,30.370645802810277,0.1443775598884488,0.09342077404546688,0.6470588235294118,Other
OK,3,3,Oklahoma,3970497,2621275,33398,674369,200847,391714,465739,177413,42157,29429,61364,25.726755109631767,7.662187294351032,14.943643837445517,17.767651238424047,6.768194867001745,1.6082631543809789,1.122697923720327,27.266807183527103,0.07555729169421359,0.07555729169421359,1,Other
OR,8,3,Oregon,4229374,2999096,37458,542883,242573,492010,654185,283031,72199,54744,76632,18.10155460178667,8.088203912112183,16.405276790072744,21.812739572191088,9.437210412737706,2.407358750770232,1.8253500388116954,35.48265877451072,0.1891532884062748,0.07093248315235304,0.375,Other
PA,35,7,Pennsylvania,12989208,9128083,100550,2710001,500374,921061,1844355,884422,199768,152773,73170,29.68861041250392,5.481698621714987,10.090410001749547,20.205282971243797,9.689022328127384,2.1884989433159188,1.67365918999641,33.75646343268351,0.26945445788534605,0.05389089157706921,0.2,Other
RI,2,0,Rhode Island,1094250,771284,14016,173104,47993,90907,165487,80811,19272,14255,81370,22.443613506827575,6.222480953838016,11.786449608704446,21.456039539261802,10.477463554280913,2.4986904953298654,1.8482167398779177,36.2804103287505,0.18277358921635825,0,0,Other
SC,5,1,South Carolina,5142750,3553321,40013,853211,224914,491261,674340,305597,62767,46066,63623,24.011649946627394,6.329684258753994,13.825404459659008,18.977739416168703,8.60032065777339,1.7664320223250305,1.296421010091686,30.640913106358813,0.0972242477273832,0.019444849545476643,0.2,Other
SD,2,0,South Dakota,890342,588987,5441,148100,36567,82433,123313,38604,10123,6821,69457,25.144867373982787,6.2084562138043795,13.99572486319732,20.936455303767314,6.554304254593056,1.7187136558192286,1.1580900766909965,30.367563290870596,0.22463278156034422,0,0,Other
TN,7,3,Tennessee,6923772,4758712,54747,1232458,312930,656376,889401,368384,89488,66397,64035,25.898982749954193,6.575939035604591,13.793144027207363,18.689952239177323,7.741254356220758,1.8805088435694364,1.3952725023073471,29.706987941274864,0.10110096057466943,0.043328983103429745,0.42857142857142855,Other
TX,46,22,Texas,29243342,18910948,462389,3792935,1221713,2733655,3919003,1598654,341512,242618,73035,20.05682105413224,6.460347730848818,14.45540963890335,20.723461351593798,8.45358995223296,1.805895717126397,1.2829499610490176,32.265896982002175,0.1573007626830066,0.07523079954404664,0.4782608695652174,Other
UT,11,5,Utah,3283809,1959919,21356,383506,154836,327177,468541,173551,36570,29475,86833,19.567441307523424,7.900122403017676,16.69339396168923,23.906141019093134,8.855008803935265,1.8658934374328737,1.5038886811138623,36.130931941575135,0.33497685157693396,0.1522622052622427,0.45454545454545453,Other
VA,16,7,Virginia,8624511,5919142,79107,1184055,361900,732853,1366160,780607,158770,119285,87249,20.003828257541382,6.114061801524613,12.381068066959704,23.08037212150004,13.187840399841733,2.682314430030569,2.0152413981620985,40.96576834953444,0.18551776442745566,0.08116402193701185,0.4375,Other
VI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Other
VT,3,0,Vermont,643816,459033,2750,112763,24038,50837,111614,57539,12438,9939,74014,24.565336261227404,5.236660545102422,11.074802900880766,24.315027459899397,12.53482865066346,2.709609113070302,2.165203808876486,41.724669032509645,0.46597164407221936,0,0,Other
WA,18,7,Washington,7688549,5347314,75599,957379,399854,788146,1244437,569699,123220,92087,90325,17.903923352920735,7.477660747059178,14.739100789667486,23.272188616565252,10.653928308679834,2.304334475215033,1.7221169357176331,37.95256833617775,0.23411439531698372,0.0910444870677159,0.3888888888888889,Other
WI,18,9,Wisconsin,5882128,4047831,38573,1071376,269276,540579,852632,319419,70555,53667,72458,26.46790342778639,6.652352827971327,13.354781857246511,21.063922876226798,7.891115019377044,1.7430322560403337,1.3258211620000933,32.02389131364427,0.30601170188748017,0.15300585094374008,0.5,Other
WV,2,0,West Virginia,1792967,1271529,11571,421521,79351,152578,171758,84486,18450,14085,55217,33.15071854436666,6.240596950600419,11.999569022806401,13.507989200403609,6.64444145591646,1.4510089820995038,1.1077214912125481,22.71116112963212,0.11154694983231704,0,0,Other
